Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Submitters,Release_Date,Isolate,Species,Length,Protein,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
ULE27955,Bovine rotavirus A,GenBank,,MW591778,"Sarhan,A.G., Harb,N., El-Dougdoug,K.A., Gomaa,H.H.",2022-02-22,EGB2019,Rotavirus A,326,structural protein,Egypt,,,,2019-11-19
ULE27956,Bovine rotavirus A,GenBank,,MW591779,"Sarhan,A.G., Harb,N., El-Dougdoug,K.A., Gomaa,H.H.",2022-02-22,EGCH2020,Rotavirus A,326,structural protein,Egypt,,,,2020-01-16
UJQ88307,Rotavirus A,GenBank,,OM105044,"Chauhan,R.P., James,S.E., Gordon,M.L.",2022-01-31,BSF2,Rotavirus A,326,VP7,South Africa,,Sus scrofa domesticus,"saliva, oronasopharynx",2021-03
UEL36289,Bovine rotavirus,GenBank,,OK539646,"Cheng,X.",2021-11-14,HLJ8012,Rotavirus A,326,VP7,China,,Bos taurus,,2020
UED37357,Rotavirus A,GenBank,,OK349183,"Wang,S.-J., Chen,L.-N., Wang,S.-M., Zhou,H.-L., Qiu,C., Qiu,T.-Y., Chen,S.-L., Jiang,B., Wang,X.-Y.",2021-11-09,RVA/Human-wt/CHN/GZ-0005/2021/G8P[8],Rotavirus A,326,VP7,China,,Homo sapiens,feces,2021-02
UED37368,Rotavirus A,GenBank,,OK349194,"Wang,S.-J., Chen,L.-N., Wang,S.-M., Zhou,H.-L., Qiu,C., Qiu,T.-Y., Chen,S.-L., Jiang,B., Wang,X.-Y.",2021-11-09,RVA/Human-wt/CHN/GZ-0013/2021/G8P[8],Rotavirus A,326,VP7,China,,Homo sapiens,feces,2021-02
QZA75610,Human rotavirus A,GenBank,,MZ165496,"Yang,L., Jiang,Y.",2021-08-23,RVA/Human/CHN/HB-1/2019,Rotavirus A,326,VP7,China,,Homo sapiens,feces,2019-12
QZA75611,Human rotavirus A,GenBank,,MZ165497,"Yang,L., Jiang,Y.",2021-08-23,RVA/Human/CHN/HB-18/2019,Rotavirus A,326,VP7,China,,Homo sapiens,feces,2019-12
QZA75612,Human rotavirus A,GenBank,,MZ165498,"Yang,L., Jiang,Y.",2021-08-23,RVA/Human/CHN/HB-20/2019,Rotavirus A,326,VP7,China,,Homo sapiens,feces,2019-12
QZA75613,Human rotavirus A,GenBank,,MZ165499,"Yang,L., Jiang,Y.",2021-08-23,RVA/Human/CHN/HB-22/2019,Rotavirus A,326,VP7,China,,Homo sapiens,feces,2019-12
QZA75614,Human rotavirus A,GenBank,,MZ165500,"Yang,L., Jiang,Y.",2021-08-23,RVA/Human/CHN/HB-27/2019,Rotavirus A,326,VP7,China,,Homo sapiens,feces,2019-12
QZA75615,Human rotavirus A,GenBank,,MZ165501,"Yang,L., Jiang,Y.",2021-08-23,RVA/Human/CHN/HB-28/2019,Rotavirus A,326,VP7,China,,Homo sapiens,feces,2019-12
QZA75616,Human rotavirus A,GenBank,,MZ165502,"Yang,L., Jiang,Y.",2021-08-23,RVA/Human/CHN/HB-33/2019,Rotavirus A,326,VP7,China,,Homo sapiens,feces,2019-12
QZA75617,Human rotavirus A,GenBank,,MZ165503,"Yang,L., Jiang,Y.",2021-08-23,RVA/Human/CHN/HB-109/2019,Rotavirus A,326,VP7,China,,Homo sapiens,feces,2019-12
QZA75618,Human rotavirus A,GenBank,,MZ165504,"Yang,L., Jiang,Y.",2021-08-23,RVA/Human/CHN/HB-19/2019,Rotavirus A,326,VP7,China,,Homo sapiens,feces,2019-12
QZA75619,Human rotavirus A,GenBank,,MZ165505,"Yang,L., Jiang,Y.",2021-08-23,RVA/Human/CHN/HB-43/2019,Rotavirus A,326,VP7,China,,Homo sapiens,feces,2019-12
QZA75620,Human rotavirus A,GenBank,,MZ165506,"Yang,L., Jiang,Y.",2021-08-23,RVA/Human/CHN/HB-45/2019,Rotavirus A,326,VP7,China,,Homo sapiens,feces,2019-12
QZA75621,Porcine rotavirus A,GenBank,,MZ165507,"Yang,L., Jiang,Y.",2021-08-23,RVA/Porcine/CHN/HB-1/2019,Rotavirus A,326,VP7,China,,Sus scrofa,,2019-12
QZA75622,Porcine rotavirus A,GenBank,,MZ165508,"Yang,L., Jiang,Y.",2021-08-23,RVA/Porcine/CHN/HB-7/2019,Rotavirus A,326,VP7,China,,Sus scrofa,,2019-12
QXY11646,Rotavirus A,GenBank,,MZ096469,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0918/2018/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-12-25
QXY11657,Rotavirus A,GenBank,,MZ096480,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0919/2018/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-12-27
QXY11668,Rotavirus A,GenBank,,MZ096491,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0920/2019/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-01-20
QXY11679,Rotavirus A,GenBank,,MZ096502,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0922/2019/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-06-05
QXY11690,Rotavirus A,GenBank,,MZ096513,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0923/2019/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-06-06
QXY11701,Rotavirus A,GenBank,,MZ096524,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0924/2019/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-06-08
QXY11712,Rotavirus A,GenBank,,MZ096535,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0925/2019/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-06-26
QXY11734,Rotavirus A,GenBank,,MZ096557,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0927/2019/G8P[4],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-07-11
QXY11756,Rotavirus A,GenBank,,MZ096579,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0929/2019/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-07-11
QXY11767,Rotavirus A,GenBank,,MZ096590,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0930/2019/G8P[4],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-07-11
QXY11789,Rotavirus A,GenBank,,MZ096612,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0933/2019/G1P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-06-01
QXY11800,Rotavirus A,GenBank,,MZ096623,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0934/2019/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-07-25
QXY11811,Rotavirus A,GenBank,,MZ096634,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0936/2019/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-07-29
QXY11833,Rotavirus A,GenBank,,MZ096656,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0938/2019/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-08-01
QXY11844,Rotavirus A,GenBank,,MZ096667,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0939/2019/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-08-03
QXY11855,Rotavirus A,GenBank,,MZ096678,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0940/2019/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-08-03
QXY11866,Rotavirus A,GenBank,,MZ096689,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0941/2019/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-08-04
QXY11877,Rotavirus A,GenBank,,MZ096700,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0942/2019/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-08-07
QXY11888,Rotavirus A,GenBank,,MZ096711,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0943/2019/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-08-09
QXY11899,Rotavirus A,GenBank,,MZ096722,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0944/2019/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-08-12
QXY11910,Rotavirus A,GenBank,,MZ096733,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0945/2019/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-08-12
QXY11921,Rotavirus A,GenBank,,MZ096744,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0947/2019/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-08-15
QXY11932,Rotavirus A,GenBank,,MZ096755,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0948/2019/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-08-16
QXY11943,Rotavirus A,GenBank,,MZ096766,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0949/2019/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-08-18
QXY11954,Rotavirus A,GenBank,,MZ096777,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0950/2019/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-08-23
QXY11965,Rotavirus A,GenBank,,MZ096788,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0951/2019/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-08-27
QXY11976,Rotavirus A,GenBank,,MZ096799,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0953/2019/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-09-02
QXY11987,Rotavirus A,GenBank,,MZ096810,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0954/2019/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-10-08
QXY11998,Rotavirus A,GenBank,,MZ096821,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0955/2019/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-10-19
QXY12009,Rotavirus A,GenBank,,MZ096832,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0956/2019/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-10-26
QXY12020,Rotavirus A,GenBank,,MZ096843,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0957/2019/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-12-20
QXY12031,Rotavirus A,GenBank,,MZ096854,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF0958/2019/G3P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2019-12-24
QXY12328,Rotavirus A,GenBank,,MZ097151,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF1052/2018/G1P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2018-10-23
QXY12339,Rotavirus A,GenBank,,MZ097162,"Lambisia,A.W., Mwanga,M.J., Makori,T.O., Mudibo,E.O., de Laurent,Z.R., Lewa,C.S., Cheruiyot,R., Mutunga,M., Nokes,J.D., Agoti,C.N.",2021-07-31,RVA/Human-wt/KEN/KLF1053/2018/G1P[8],Rotavirus A,326,VP7 protein,Kenya: Kilifi,,Homo sapiens,feces,2018-12-13
BCR34235,Rotavirus A,GenBank,,LC600814,"Wandera,E.A., Hatazawa,R., Tsutsui,N., Kurokawa,N., Kathiiko,C., Mumo,M., Waithira,E., Wachira,M., Mwaura,B., Nyangao,J., Khamadi,S.A., Njau,J., Fukuda,S., Murata,T., Taniguchi,K., Ichinose,Y., Kaneko,S., Komoto,S., Wandera,A.E.",2021-07-14,,Rotavirus A,326,structural protein VP7,Kenya:Kiambu,,Homo sapiens,feces,2019-02
BCR34246,Rotavirus A,GenBank,,LC600825,"Wandera,E.A., Hatazawa,R., Tsutsui,N., Kurokawa,N., Kathiiko,C., Mumo,M., Waithira,E., Wachira,M., Mwaura,B., Nyangao,J., Khamadi,S.A., Njau,J., Fukuda,S., Murata,T., Taniguchi,K., Ichinose,Y., Kaneko,S., Komoto,S., Wandera,A.E.",2021-07-14,,Rotavirus A,326,structural protein VP7,Kenya:Kiambu,,Homo sapiens,feces,2019-04
BCR34257,Rotavirus A,GenBank,,LC600836,"Wandera,E.A., Hatazawa,R., Tsutsui,N., Kurokawa,N., Kathiiko,C., Mumo,M., Waithira,E., Wachira,M., Mwaura,B., Nyangao,J., Khamadi,S.A., Njau,J., Fukuda,S., Murata,T., Taniguchi,K., Ichinose,Y., Kaneko,S., Komoto,S., Wandera,A.E.",2021-07-14,,Rotavirus A,326,structural protein VP7,Kenya:Kiambu,,Homo sapiens,feces,2019-10
BCR34268,Rotavirus A,GenBank,,LC600847,"Wandera,E.A., Hatazawa,R., Tsutsui,N., Kurokawa,N., Kathiiko,C., Mumo,M., Waithira,E., Wachira,M., Mwaura,B., Nyangao,J., Khamadi,S.A., Njau,J., Fukuda,S., Murata,T., Taniguchi,K., Ichinose,Y., Kaneko,S., Komoto,S., Wandera,A.E.",2021-07-14,,Rotavirus A,326,structural protein VP7,Kenya:Kiambu,,Homo sapiens,feces,2019-10
QTJ96203,Rotavirus A,GenBank,,MW254127,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96204,Rotavirus A,GenBank,,MW254128,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96205,Rotavirus A,GenBank,,MW254129,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96206,Rotavirus A,GenBank,,MW254130,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96207,Rotavirus A,GenBank,,MW254131,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96208,Rotavirus A,GenBank,,MW254132,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96209,Rotavirus A,GenBank,,MW254133,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96210,Rotavirus A,GenBank,,MW254134,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96211,Rotavirus A,GenBank,,MW254135,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96212,Rotavirus A,GenBank,,MW254136,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96213,Rotavirus A,GenBank,,MW254137,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96214,Rotavirus A,GenBank,,MW254138,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96215,Rotavirus A,GenBank,,MW254139,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96216,Rotavirus A,GenBank,,MW254140,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96217,Rotavirus A,GenBank,,MW254141,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96218,Rotavirus A,GenBank,,MW254142,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96219,Rotavirus A,GenBank,,MW254143,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96220,Rotavirus A,GenBank,,MW254144,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96221,Rotavirus A,GenBank,,MW254145,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96222,Rotavirus A,GenBank,,MW254146,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96223,Rotavirus A,GenBank,,MW254147,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96224,Rotavirus A,GenBank,,MW254148,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96225,Rotavirus A,GenBank,,MW254149,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96226,Rotavirus A,GenBank,,MW254150,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96227,Rotavirus A,GenBank,,MW254151,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96228,Rotavirus A,GenBank,,MW254152,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96229,Rotavirus A,GenBank,,MW254153,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96230,Rotavirus A,GenBank,,MW254154,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96231,Rotavirus A,GenBank,,MW254155,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
QTJ96232,Rotavirus A,GenBank,,MW254156,"Du,H., Xiong,P., Ji,F., Lin,X., Wang,S., Zhang,L., Liu,Y., Song,Y., Tao,Z., Xu,A.",2021-04-07,,Rotavirus A,326,VP7,China,,Homo sapiens,,2019
